source,target,type,value
"Knowledge-Map","narad","wikilink",1
"Knowledge-Map","nisha","wikilink",1
"Knowledge-Map","nisha-chitragupta","wikilink",1
"Knowledge-Map","nisha-n8n","wikilink",1
"Knowledge-Map","nisha-saas","wikilink",1
"Knowledge-Map","nisha-vishwakarma","wikilink",1
"Knowledge-Map","social-blueprint-ai","wikilink",1
"Knowledge-Map","nisha","wikilink",1
"Knowledge-Map","nisha-chitragupta","wikilink",1
"Knowledge-Map","nisha-vishwakarma","wikilink",1
"Knowledge-Map","nisha-saas","wikilink",1
"Knowledge-Map","social-blueprint-ai","wikilink",1
"Knowledge-Map","narad","wikilink",1
"Knowledge-Map","nisha","wikilink",1
"Knowledge-Map","nisha-chitragupta","wikilink",1
"Knowledge-Map","nisha-vishwakarma","wikilink",1
"Knowledge-Map","nisha-saas","wikilink",1
"Knowledge-Map","social-blueprint-ai","wikilink",1
"Knowledge-Map","narad","wikilink",1
"Knowledge-Map","nisha-n8n","wikilink",1
"Knowledge-Map","nisha","wikilink",1
"Knowledge-Map","social-blueprint-ai","wikilink",1
"Knowledge-Map","social-blueprint-ai","wikilink",1
"Knowledge-Map","narad","wikilink",1
"Knowledge-Map","nisha","wikilink",1
"Knowledge-Map","nisha-chitragupta","wikilink",1
"Knowledge-Map","nisha-vishwakarma","wikilink",1
"Knowledge-Map","nisha-saas","wikilink",1
"Knowledge-Map","social-blueprint-ai","wikilink",1
"Knowledge-Map","narad","wikilink",1
"Knowledge-Map","nisha-chitragupta","wikilink",1
"Knowledge-Map","social-blueprint-ai","wikilink",1
"Knowledge-Map","narad","wikilink",1
"Changelog","README-md","wikilink",1
"Changelog","SKILL-md","wikilink",1
"Changelog","FUNDING-yml","wikilink",1
"Changelog","bug_report-yml","wikilink",1
"Changelog","feature_request-yml","wikilink",1
"Changelog","CLAUDE-md","wikilink",1
"Changelog","CONTRIBUTING-md","wikilink",1
"Changelog","DATA_CONTRACT-md","wikilink",1
"Changelog","README-md","wikilink",1
"Changelog","batch-prompt-md","wikilink",1
"Changelog","batch-runner-sh","wikilink",1
"Changelog","profile-example-yml","wikilink",1
"Changelog","ARCHITECTURE-md","wikilink",1
"Changelog","CUSTOMIZATION-md","wikilink",1
"Changelog","SETUP-md","wikilink",1
"Changelog","article-digest-example-md","wikilink",1
"Changelog","cv-example-md","wikilink",1
"Changelog","README-md","wikilink",1
"Changelog","cv-md","wikilink",1
"Changelog","profile-yml","wikilink",1
"Changelog","sample-report-md","wikilink",1
"Changelog","story-bank-md","wikilink",1
"Changelog","_profile-template-md","wikilink",1
"Changelog","_shared-md","wikilink",1
"Changelog","apply-md","wikilink",1
"Changelog","auto-pipeline-md","wikilink",1
"Changelog","batch-md","wikilink",1
"Changelog","contacto-md","wikilink",1
"Changelog","README-md","wikilink",1
"Changelog","_shared-md","wikilink",1
"Changelog","angebot-md","wikilink",1
"Changelog","bewerben-md","wikilink",1
"Changelog","pipeline-md","wikilink",1
"Changelog","deep-md","wikilink",1
"Changelog","oferta-md","wikilink",1
"Changelog","ofertas-md","wikilink",1
